index,mae_before,mae_after,true_mean,pred_before_mean,pred_after_mean
8.011200000000000000e+04,4.084396484375000000e+03,4.069622802734375000e+03,4.465948730468750000e+03,3.815522460937500000e+02,3.963262023925781250e+02
8.011300000000000000e+04,4.058020751953125000e+03,4.037322509765625000e+03,4.526057617187500000e+03,4.680368652343750000e+02,4.887353515625000000e+02
5.987100000000000000e+04,3.941488037109375000e+03,3.931578125000000000e+03,4.285516601562500000e+03,3.773337097167968750e+02,3.827702636718750000e+02
5.987300000000000000e+04,3.874151611328125000e+03,3.866739990234375000e+03,4.314967285156250000e+03,4.898542175292968750e+02,5.022461853027343750e+02
3.667000000000000000e+03,3.771857666015625000e+03,3.775000732421875000e+03,3.917509033203125000e+03,1.456519012451171875e+02,1.425085906982421875e+02
3.666000000000000000e+03,3.751112548828125000e+03,3.754273437500000000e+03,3.896063476562500000e+03,1.449511108398437500e+02,1.417903442382812500e+02
5.987200000000000000e+04,3.728780029296875000e+03,3.712447021484375000e+03,4.369788574218750000e+03,6.410090942382812500e+02,6.573416137695312500e+02
5.987400000000000000e+04,3.727555664062500000e+03,3.727069580078125000e+03,4.106243652343750000e+03,4.567572937011718750e+02,4.638910827636718750e+02
6.364700000000000000e+04,3.685162109375000000e+03,3.662263671875000000e+03,4.260814941406250000e+03,5.756526489257812500e+02,5.985510864257812500e+02
8.011400000000000000e+04,3.674571044921875000e+03,3.637015380859375000e+03,4.569572753906250000e+03,8.950022583007812500e+02,9.325578002929687500e+02
