window_id,win_start,win_end,phase,mae,rmse,mape_ge50
0,0,20000,before,221.3733367919922,566.8089956061036,49.273705
1,20000,40000,before,264.59088134765625,444.2265926585215,46.389565
2,40000,60000,before,317.9073181152344,819.8802885177811,69.18862
3,60000,80000,before,327.2314758300781,768.4680783871247,65.25796
4,80000,100000,before,246.1236572265625,573.0904160776029,39.107494
4,80000,100000,after,246.10313415527344,572.54645008069,39.21198
5,100000,120000,before,134.88507080078125,285.8917927949314,40.947
6,120000,140000,before,219.2739715576172,464.7880397288639,34.991432
6,120000,140000,after,219.01153564453125,464.11814902026833,35.011883
